subgroup,modeldate,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo,timestamp
All polls,3/9/2018,47.17631,52.52515,41.82747,39.49635,43.48482,35.50788,16:26:09  9 Mar 2018
Adults,3/8/2018,44.64396,50.65931,38.6286,35.68745,41.87259,29.50231,18:00:14  8 Mar 2018
Voters,3/8/2018,47.68395,53.10148,42.26643,38.78053,42.96266,34.59839,18:00:17  8 Mar 2018
All polls,3/8/2018,47.69431,53.05424,42.33439,38.82832,43.00456,34.65208,18:00:13  8 Mar 2018
Voters,3/7/2018,47.68395,53.10148,42.26643,38.78053,42.96266,34.59839,15:14:12  7 Mar 2018
Adults,3/7/2018,44.64396,50.65931,38.6286,35.68745,41.87259,29.50231,15:14:09  7 Mar 2018
All polls,3/7/2018,47.69431,53.05424,42.33439,38.82832,43.00456,34.65208,15:14:08  7 Mar 2018
Voters,3/6/2018,47.25111,52.96436,41.53785,37.79477,42.1032,33.48634,16:02:13  6 Mar 2018
Adults,3/6/2018,44.64396,50.65931,38.6286,35.68745,41.87259,29.50231,16:02:10  6 Mar 2018
All polls,3/6/2018,47.26222,52.89536,41.62908,37.8812,42.189,33.57339,16:02:09  6 Mar 2018
Adults,3/5/2018,43.0963,49.51994,36.67265,35.52577,42.00288,29.04865,15:59:10  5 Mar 2018
Voters,3/5/2018,46.54937,52.33602,40.76271,37.72894,41.99479,33.46308,15:59:12  5 Mar 2018
All polls,3/5/2018,46.58916,52.29126,40.88707,37.81501,42.07445,33.55556,15:59:08  5 Mar 2018
Voters,3/4/2018,46.74304,52.57735,40.90873,37.78949,42.11908,33.45989,18:00:15  4 Mar 2018
Adults,3/4/2018,43.0963,49.51994,36.67265,35.52577,42.00288,29.04865,18:00:12  4 Mar 2018
All polls,3/4/2018,46.78322,52.52758,41.03886,37.87831,42.19749,33.55914,18:00:11  4 Mar 2018
All polls,3/3/2018,46.78322,52.52758,41.03886,37.87831,42.19749,33.55914,18:00:12  3 Mar 2018
Adults,3/3/2018,43.0963,49.51994,36.67265,35.52577,42.00288,29.04865,18:00:13  3 Mar 2018
Voters,3/3/2018,46.74304,52.57735,40.90873,37.78949,42.11908,33.45989,18:00:16  3 Mar 2018
Voters,3/2/2018,46.74304,52.57735,40.90873,37.78949,42.11908,33.45989,19:07:13  2 Mar 2018
Adults,3/2/2018,43.0963,49.51994,36.67265,35.52577,42.00288,29.04865,19:07:10  2 Mar 2018
All polls,3/2/2018,46.78322,52.52758,41.03886,37.87831,42.19749,33.55914,19:07:09  2 Mar 2018
Adults,3/1/2018,42.18364,48.89207,35.4752,37.24178,43.45424,31.02933,12:31:09  1 Mar 2018
